Universidad ,Programa,Carrera,Ciclo,Nombre del curso,codigo,creditos,Prerequisitos,URL,Pagina
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,1,Comprensión y Producción de Lenguaje I   ,HU625,1,HU624 Nivelación de Lenguaje o haber sido exonerado por el proceso de admisión general.,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,1,Creatividad y Liderazgo (Ing)  ,HU612,1,,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,1,Ética y Ciudadanía HU546 Nivelación de Lenguaje o haber sido exonerado por el proceso de admisión general.,HU548,1, HU624 Nivelación de Lenguaje o haber sido exonerado por el proceso de admisión general.,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,1,Matemática Básica ,MA420,1, MA638 Nivelación de Matemática o haber sido exonerado por el proceso de admisión general.,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,1,Fundamentos en Programación,CC200,1,  MA638 Nivelación de Matemática o haber sido exonerado por el proceso de admisión general.,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,2,Cálculo I ,MA262,1,MA420 Matemática Básica,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,2,Comprensión y Producción de Lenguaje II   ,HU626,1,HU625 Comprensión y Producción de Lenguaje I,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,2,Seminario de Investigación Académica I  ,HU159,1,HU625 Comprensión y Producción de Lenguaje I,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,2,Organización y Dirección de Empresas   ,AD99,1,,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,2,Programación Orientado a Objetos ,CC201,1,CC200 Fundamentos en Programación,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,3,Física I ,MA466,2, Cálculo I y  MA652 Nivelación de Física,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,3,Arquitectura de Computadoras y Sistemas Operativos ,SI643,1,MA262 Cálculo I,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,3,Diseño De Base De Datos ,SI00,1,CC201 Programación Orientado a Objetos,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,3,Fundamentos en Ciberseguridad  ,CB00,1,CC201 Programación Orientado a Objetos,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,3,Matemática Discreta,MA265,1, MA262 Cálculo I; CC215 Algoritmos,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,4,Estadística Aplicada I ,MA642,1, MA262 Cálculo I,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,4,Física II,MA462,2,MA466 Física I,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,4,Hacking Ético ,CB01,1, CB00 Fundamentos en Ciberseguridad,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,4,Matemática Computacional ,MA475,2, MA262 Cálculo I,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,4,Redes y Comunicaciones de Datos  ,SI640,2,SI643 Arquitectura de Computadoras y Sistemas Operativos,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,5,Arquitectura de Aplicaciones,CB02,1,  CB00 Fundamentos en Ciberseguridad,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
Universidad Peruana de Ciencias Aplicadas (UPC),PREGRADO,INGENIERÍA DE CIBERSEGURIDAD  ,5,Cálculo II  ,MA263,2,MA262 Cálculo I,https://www.upc.edu.pe/transparencia-upc/mallas-curriculares/documentos//INGENIERIA%20DE%20CIBERSEGURIDAD%20%20FDM.pdf,1
